#The first 6 parameters give the dimensions of a cell. The 7-9 parameters are the cell center. The 10th parameter is the value within the cell.
#x0(m)                x1(m)                 #y0(m)                y1(m)                 #z0(m)                z1(m)                 xc(m)                 yc(m)                 zc(m)                 value                 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  2.50000000000000e+02  2.50000000000000e+02  -2.11536246095714e-02 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  7.50000000000000e+02  -6.06261176528142e+00 
0.00000000000000e+00  2.50000000000000e+02  0.00000000000000e+00  2.50000000000000e+02  1.00000000000000e+03  1.25000000000000e+03  1.25000000000000e+02  1.25000000000000e+02  1.12500000000000e+03  4.77010671137005e+01  
0.00000000000000e+00  2.50000000000000e+02  0.00000000000000e+00  2.50000000000000e+02  1.25000000000000e+03  1.50000000000000e+03  1.25000000000000e+02  1.25000000000000e+02  1.37500000000000e+03  4.90770437574615e+01  
0.00000000000000e+00  2.50000000000000e+02  2.50000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.25000000000000e+03  1.25000000000000e+02  3.75000000000000e+02  1.12500000000000e+03  4.42604305492249e+01  
0.00000000000000e+00  2.50000000000000e+02  2.50000000000000e+02  5.00000000000000e+02  1.25000000000000e+03  1.50000000000000e+03  1.25000000000000e+02  3.75000000000000e+02  1.37500000000000e+03  4.75869326591392e+01  
2.50000000000000e+02  5.00000000000000e+02  0.00000000000000e+00  2.50000000000000e+02  1.00000000000000e+03  1.25000000000000e+03  3.75000000000000e+02  1.25000000000000e+02  1.12500000000000e+03  4.47651801815129e+01  
2.50000000000000e+02  5.00000000000000e+02  0.00000000000000e+00  2.50000000000000e+02  1.25000000000000e+03  1.50000000000000e+03  3.75000000000000e+02  1.25000000000000e+02  1.37500000000000e+03  4.78105536409411e+01  
2.50000000000000e+02  5.00000000000000e+02  2.50000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.25000000000000e+03  3.75000000000000e+02  3.75000000000000e+02  1.12500000000000e+03  4.20038206295265e+01  
2.50000000000000e+02  5.00000000000000e+02  2.50000000000000e+02  5.00000000000000e+02  1.25000000000000e+03  1.50000000000000e+03  3.75000000000000e+02  3.75000000000000e+02  1.37500000000000e+03  4.65629669250875e+01  
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  1.75000000000000e+03  1.35284652553391e+00  
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  2.25000000000000e+03  -3.78903973475280e+01 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  2.75000000000000e+03  -4.30539857478744e+01 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  3.25000000000000e+03  -4.48236154132413e+01 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  7.50000000000000e+02  2.50000000000000e+02  -1.07847678354658e-02 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  7.50000000000000e+02  -6.85169486831464e+00 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  1.25000000000000e+03  2.80046136042666e+01  
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  1.75000000000000e+03  5.15745958605286e+00  
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  2.25000000000000e+03  -2.84877075513611e+01 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  2.75000000000000e+03  -3.67221324076638e+01 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  3.25000000000000e+03  -3.98640585609964e+01 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  1.25000000000000e+03  2.50000000000000e+02  -2.74486125995319e-02 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  7.50000000000000e+02  -4.41708852677800e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  1.25000000000000e+03  2.42824475851713e+01  
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  1.75000000000000e+03  7.69508079213426e+00  
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  2.25000000000000e+03  -2.05100897976140e+01 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  2.75000000000000e+03  -3.00576572720022e+01 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  3.25000000000000e+03  -3.40495326913470e+01 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  1.75000000000000e+03  2.50000000000000e+02  -3.63049608999018e-02 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  7.50000000000000e+02  -3.23851911948089e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  1.25000000000000e+03  1.69113332959918e+01  
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  1.75000000000000e+03  5.93605292574264e+00  
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  2.25000000000000e+03  -1.60199051525118e+01 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  2.75000000000000e+03  -2.46838132530789e+01 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  3.25000000000000e+03  -2.86875657370458e+01 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  2.25000000000000e+03  2.50000000000000e+02  -4.75719091344843e-02 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  7.50000000000000e+02  -2.19574198188778e+00 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  1.25000000000000e+03  1.23147812463161e+01  
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  1.75000000000000e+03  3.73388800176954e+00  
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  2.25000000000000e+03  -1.35185704646891e+01 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  2.75000000000000e+03  -2.07017489416847e+01 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  3.25000000000000e+03  -2.43737229995019e+01 
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  2.75000000000000e+03  2.50000000000000e+02  -4.21313765710651e-02 
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  7.50000000000000e+02  -2.38897510372698e+00 
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  1.25000000000000e+03  9.92859145238989e+00  
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  1.75000000000000e+03  3.18013123810368e+00  
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  2.25000000000000e+03  -1.17840432657186e+01 
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  2.75000000000000e+03  -1.81676209846596e+01 
0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  2.75000000000000e+03  3.25000000000000e+03  -2.16111804228916e+01 
0.00000000000000e+00  5.00000000000000e+02  3.00000000000000e+03  3.50000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  3.25000000000000e+03  2.50000000000000e+02  -3.88324494452793e-02 
0.00000000000000e+00  5.00000000000000e+02  3.00000000000000e+03  3.50000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  3.25000000000000e+03  7.50000000000000e+02  -2.10059669342394e+00 
