#The first 6 parameters give the dimensions of a cell. The 7-9 parameters are the cell center. The 10th parameter is the value within the cell.
#x0(m)                x1(m)                 #y0(m)                y1(m)                 #z0(m)                z1(m)                 xc(m)                 yc(m)                 zc(m)                 value                 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  2.50000000000000e+02  2.50000000000000e+02  -1.66269606463646e-02 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  7.50000000000000e+02  6.31664181574169e-01  
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  1.25000000000000e+03  -5.83071300627216e-02 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  1.75000000000000e+03  -2.10586866690835e+00 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  2.25000000000000e+03  -4.46276757357903e+00 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  2.75000000000000e+03  -6.75871108729658e+00 
0.00000000000000e+00  5.00000000000000e+02  0.00000000000000e+00  5.00000000000000e+02  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  2.50000000000000e+02  3.25000000000000e+03  -8.41988496699218e+00 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  7.50000000000000e+02  2.50000000000000e+02  3.83932909907884e-02  
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  7.50000000000000e+02  3.39708104614597e-01  
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  1.25000000000000e+03  -4.51425676526991e-01 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  1.75000000000000e+03  -2.23131059320862e+00 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  2.25000000000000e+03  -4.21761937992433e+00 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  2.75000000000000e+03  -6.11327026725009e+00 
0.00000000000000e+00  5.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  7.50000000000000e+02  3.25000000000000e+03  -7.53297185748542e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  1.25000000000000e+03  2.50000000000000e+02  -1.05896509286312e-01 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  7.50000000000000e+02  -3.00956000815542e-01 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  1.25000000000000e+03  -1.10759953960439e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  1.75000000000000e+03  -2.47198041740067e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  2.25000000000000e+03  -3.85454476402358e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  2.75000000000000e+03  -5.07500574627213e+00 
0.00000000000000e+00  5.00000000000000e+02  1.00000000000000e+03  1.50000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  1.25000000000000e+03  3.25000000000000e+03  -6.08042022691328e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  1.75000000000000e+03  2.50000000000000e+02  -5.06511008885353e-02 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  7.50000000000000e+02  -4.37335703887926e-01 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  1.25000000000000e+03  -1.56149999529578e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  1.75000000000000e+03  -2.70782513992572e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  2.25000000000000e+03  -3.50652738531948e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  2.50000000000000e+03  3.00000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  2.75000000000000e+03  -3.95295741960784e+00 
0.00000000000000e+00  5.00000000000000e+02  1.50000000000000e+03  2.00000000000000e+03  3.00000000000000e+03  3.50000000000000e+03  2.50000000000000e+02  1.75000000000000e+03  3.25000000000000e+03  -4.48482057052276e+00 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  0.00000000000000e+00  5.00000000000000e+02  2.50000000000000e+02  2.25000000000000e+03  2.50000000000000e+02  5.34507044856723e-02  
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  5.00000000000000e+02  1.00000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  7.50000000000000e+02  -8.90657067028282e-01 
0.00000000000000e+00  5.00000000000000e+02  2.00000000000000e+03  2.50000000000000e+03  1.00000000000000e+03  1.50000000000000e+03  2.50000000000000e+02  2.25000000000000e+03  1.25000000000000e+03  -2.18908886372824e+00 
