#The first 6 parameters give the dimensions of a cell. The 7-9 parameters are the cell center. The 10th parameter is the value within the cell.
#x0(m)                x1(m)                 #y0(m)                y1(m)                 #z0(m)                z1(m)                 xc(m)                 yc(m)                 zc(m)                 value                 
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 0.00000000000000e+00  2.00000000000000e+02  -1.08750000000000e+03 -1.08750000000000e+03 1.00000000000000e+02  1.79516234991520e-02  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 2.00000000000000e+02  4.00000000000000e+02  -1.08750000000000e+03 -1.08750000000000e+03 3.00000000000000e+02  7.58005147193220e-02  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 4.00000000000000e+02  6.00000000000000e+02  -1.08750000000000e+03 -1.08750000000000e+03 5.00000000000000e+02  2.11130553332250e-01  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 6.00000000000000e+02  8.00000000000000e+02  -1.08750000000000e+03 -1.08750000000000e+03 7.00000000000000e+02  3.74551825287753e-01  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 8.00000000000000e+02  1.00000000000000e+03  -1.08750000000000e+03 -1.08750000000000e+03 9.00000000000000e+02  5.47617296209534e-01  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 1.00000000000000e+03  1.30000000000000e+03  -1.08750000000000e+03 -1.08750000000000e+03 1.15000000000000e+03  1.02433959480124e+00  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 1.30000000000000e+03  1.75000000000000e+03  -1.08750000000000e+03 -1.08750000000000e+03 1.52500000000000e+03  2.01402526998310e+00  
-1.42500000000000e+03 -7.50000000000000e+02 -1.42500000000000e+03 -7.50000000000000e+02 1.75000000000000e+03  2.42500000000000e+03  -1.08750000000000e+03 -1.08750000000000e+03 2.08750000000000e+03  3.53572433531729e+00  
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 0.00000000000000e+00  2.00000000000000e+02  -1.08750000000000e+03 -5.25000000000000e+02 1.00000000000000e+02  -4.44730587521115e-02 
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 2.00000000000000e+02  4.00000000000000e+02  -1.08750000000000e+03 -5.25000000000000e+02 3.00000000000000e+02  -6.04986266630462e-02 
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 4.00000000000000e+02  6.00000000000000e+02  -1.08750000000000e+03 -5.25000000000000e+02 5.00000000000000e+02  7.37459638014945e-02  
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 6.00000000000000e+02  8.00000000000000e+02  -1.08750000000000e+03 -5.25000000000000e+02 7.00000000000000e+02  2.48699781186257e-01  
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 8.00000000000000e+02  1.00000000000000e+03  -1.08750000000000e+03 -5.25000000000000e+02 9.00000000000000e+02  4.36952922233582e-01  
-1.42500000000000e+03 -7.50000000000000e+02 -7.50000000000000e+02 -3.00000000000000e+02 1.00000000000000e+03  1.30000000000000e+03  -1.08750000000000e+03 -5.25000000000000e+02 1.15000000000000e+03  9.40990993658007e-01  
