#The first 6 parameters give the dimensions of a cell. The 7-9 parameters are the cell center. The 10th parameter is the value within the cell.
#x0(m)                x1(m)                 #y0(m)                y1(m)                 #z0(m)                z1(m)                 xc(m)                 yc(m)                 zc(m)                 value                 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  2.65164269967227e+00  
0.00000000000000e+00  1.00000000000000e+02  0.00000000000000e+00  1.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  5.00000000000000e+01  5.00000000000000e+01  2.50000000000000e+02  -3.34788513469722e+01 
0.00000000000000e+00  1.00000000000000e+02  0.00000000000000e+00  1.00000000000000e+02  3.00000000000000e+02  4.00000000000000e+02  5.00000000000000e+01  5.00000000000000e+01  3.50000000000000e+02  -3.17150712967203e+01 
0.00000000000000e+00  1.00000000000000e+02  1.00000000000000e+02  2.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  5.00000000000000e+01  1.50000000000000e+02  2.50000000000000e+02  -3.05862718099412e+01 
0.00000000000000e+00  1.00000000000000e+02  1.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  4.00000000000000e+02  5.00000000000000e+01  1.50000000000000e+02  3.50000000000000e+02  -3.09541003825628e+01 
1.00000000000000e+02  2.00000000000000e+02  0.00000000000000e+00  1.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  1.50000000000000e+02  5.00000000000000e+01  2.50000000000000e+02  -2.77114740828165e+01 
1.00000000000000e+02  2.00000000000000e+02  0.00000000000000e+00  1.00000000000000e+02  3.00000000000000e+02  4.00000000000000e+02  1.50000000000000e+02  5.00000000000000e+01  3.50000000000000e+02  -3.03542741419359e+01 
1.00000000000000e+02  2.00000000000000e+02  1.00000000000000e+02  2.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  1.50000000000000e+02  1.50000000000000e+02  2.50000000000000e+02  -2.79150236593736e+01 
1.00000000000000e+02  2.00000000000000e+02  1.00000000000000e+02  2.00000000000000e+02  3.00000000000000e+02  4.00000000000000e+02  1.50000000000000e+02  1.50000000000000e+02  3.50000000000000e+02  -3.02286574234372e+01 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  -6.60128954707485e+00 
